,translation
324,"{'en': 'who composed the music for harold and maude?', 'sparql': 'select distinct ?uri where [ dbr:Harold_and_Maude dbo:musicComposer ?uri ]'}"
325,"{'en': 'list all episodes of the first season of the hbo television series the sopranos.', 'sparql': 'select distinct ?uri where [ ?uri dbo:series dbr:The_Sopranos ; dbo:seasonNumber 1 ]'}"
326,"{'en': 'which city has the least inhabitants?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:City ; dbo:populationTotal ?pop ] order BY ASC(?pop) OFFSET 0 limit 1'}"
327,"{'en': 'where is syngman rhee buried?', 'sparql': 'select distinct ?uri where [ dbr:Syngman_Rhee dbo:restingPlace ?uri ]'}"
328,"{'en': 'does neymar play for real madrid?', 'sparql': 'ask where [ dbr:Neymar dbo:team dbr:Real_Madrid_C.F. ]'}"
329,"{'en': 'who wrote the book the pillars of the earth?', 'sparql': 'select distinct ?uri where [ dbr:The_Pillars_of_the_Earth dbo:author ?uri ]'}"
330,"{'en': 'do prince harry and prince william have the same parents?', 'sparql': 'ask where [ dbr:Prince_William,_Duke_of_Cambridge dbo:parent ?x . dbr:Prince_Harry dbo:parent ?x ]'}"
331,"{'en': 'who was the doctoral supervisor of albert einstein?', 'sparql': 'select distinct ?uri where [ dbr:Albert_Einstein dbo:doctoralAdvisor ?uri ]'}"
332,"{'en': 'does breaking bad have more episodes than game of thrones?', 'sparql': 'ask where [ dbr:Breaking_Bad dbo:numberOfEpisodes ?x . dbr:Game_of_Thrones dbo:numberOfEpisodes ?y filter ( ?y > ?x ) ]'}"
333,"{'en': 'who was vincent van gogh inspired by?', 'sparql': 'select distinct ?uri where [ ?uri dbo:influenced dbr:Vincent_van_Gogh ]'}"
334,"{'en': 'which building after the burj khalifa has the most floors?', 'sparql': 'select distinct ?uri where [ dbr:Burj_Khalifa dbo:floorCount ?burj . ?uri rdf:type dbo:Building ; dbo:floorCount ?proj filter ( ?proj < ?burj ) ] order BY DESC(?proj) limit 1'}"
335,"{'en': 'what was the final result of the war of the roses?', 'sparql': 'select distinct ?result where [ ?uri dbo:isPartOfMilitaryConflict dbr:Wars_of_the_Roses ; dbo:result ?result ; dbo:date ?date ] order BY DESC(?date) OFFSET 0 limit 1'}"
336,"{'en': 'how much did pulp fiction cost?', 'sparql': 'select distinct ?n where [ dbr:Pulp_Fiction dbo:budget ?n ]'}"
337,"{'en': 'is proinsulin a protein?', 'sparql': 'ask where [ dbr:Proinsulin rdf:type dbo:Protein ]'}"
338,"{'en': 'do urdu and persian have a common root?', 'sparql': 'ask where [ dbr:Urdu dbo:languageFamily ?uri . dbr:Persian_language dbo:languageFamily ?uri ]'}"
339,"{'en': 'who is starring in spanish movies produced by benicio del toro?', 'sparql': 'select distinct ?uri where [ ?film rdf:type dbo:Film ; dbo:country dbr:Spain ; dbo:producer dbr:Benicio_del_Toro ; dbo:starring ?uri . ?uri rdf:type dbo:Person ]'}"
340,"{'en': 'is lake baikal bigger than the great bear lake?', 'sparql': 'ask where [ dbr:Lake_Baikal dbo:areaTotal ?a1 . dbr:Great_Bear_Lake dbo:areaTotal ?a2 filter ( ?a1 > ?a2 ) ]'}"
341,"{'en': ""show me all books in asimov's foundation series."", 'sparql': 'select distinct ?uri where [ ?uri dbo:series dbr:Foundation_series ]'}"
342,"{'en': 'where was bach born?', 'sparql': 'select distinct ?uri where [ dbr:Johann_Sebastian_Bach dbo:birthPlace ?uri ]'}"
343,"{'en': 'which city has the oldest running metro?', 'sparql': 'select ?loc where [ ?uri dbo:type dbr:Rapid_transit ; dbo:openingYear ?date ; dbo:location ?loc . ?loc rdf:type dbo:City ] order BY ASC(?date) limit 1'}"
344,"{'en': 'who designed the brooklyn bridge?', 'sparql': 'select distinct ?uri where [ dbr:Brooklyn_Bridge dbo:architect ?uri ]'}"
345,"{'en': 'how many people live in eurasia?', 'sparql': 'select distinct ?population where [ dbr:Eurasia dbo:populationTotal ?population ]'}"
346,"{'en': 'who is the host of the bbc wildlife specials?', 'sparql': 'select distinct ?uri where [ dbr:BBC_Wildlife_Specials dbo:presenter ?uri ]'}"
347,"{'en': 'what is the total population of melbourne, florida?', 'sparql': 'select ?uri where [ dbr:Melbourne,_Florida dbo:populationTotal ?uri ]'}"
348,"{'en': 'what country is mount everest in?', 'sparql': 'select distinct ?uri where [ dbr:Mount_Everest dbo:locatedInArea ?uri . ?uri rdf:type dbo:Country ]'}"
349,"{'en': 'to which artistic movement did the painter of the three dancers belong?', 'sparql': 'select distinct ?uri where [ dbr:The_Three_Dancers dbo:author ?person . ?person dbo:movement ?uri ]'}"
350,"{'en': 'when did operation overlord commence?', 'sparql': 'select distinct ?d where [ dbr:Operation_Overlord dbo:date ?d ]'}"
351,"{'en': 'what is the bridge with the longest span?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Bridge ; dbo:mainspan ?s ] order BY DESC(?s) OFFSET 0 limit 1'}"
352,"{'en': 'is there a video game called battle chess?', 'sparql': 'ask where [ ?uri rdf:type dbo:VideoGame ; rdfs:label ""Battle Chess""@en ]'}"
353,"{'en': 'who was buried in the great pyramid of giza?', 'sparql': 'select ?uri where [ ?uri dbo:restingPlace dbr:Great_Pyramid_of_Giza ]'}"
354,"{'en': 'does the ford motor company have a manufacturing plant in malaysia?', 'sparql': 'ask where [ ?uri dbo:assembly dbr:Malaysia ; dbo:manufacturer dbr:Ford_Motor_Company ]'}"
355,"{'en': 'did socrates influence aristotle?', 'sparql': 'ask where [ dbr:Aristotle dbo:influencedBy dbr:Socrates ]'}"
356,"{'en': 'how many children did benjamin franklin have?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ dbr:Benjamin_Franklin dbo:child ?uri ]'}"
357,"{'en': 'how tall is michael jordan?', 'sparql': 'select distinct ?num where [ dbr:Michael_Jordan dbo:height ?num ]'}"
358,"{'en': 'in which uk city are the headquarters of the mi6?', 'sparql': 'select distinct ?uri where [ dbr:Secret_Intelligence_Service dbo:headquarter ?uri . ?uri dbo:country dbr:United_Kingdom ]'}"
359,"{'en': 'who created family guy?', 'sparql': 'select distinct ?uri where [ dbr:Family_Guy dbo:creator ?uri ]'}"
360,"{'en': 'in which city does the chile route 68 end?', 'sparql': 'select distinct ?uri where [ dbr:Chile_Route_68 dbo:routeEnd ?uri ]'}"
361,"{'en': 'give me the grandchildren of elvis presley.', 'sparql': 'select distinct ?uri where [ dbr:Elvis_Presley dbo:child ?child . ?child dbo:child ?uri ]'}"
362,"{'en': 'when did the ming dynasty dissolve?', 'sparql': 'select distinct ?date where [ dbr:Ming_dynasty dbo:dissolutionDate ?date ]'}"
363,"{'en': 'in which military conflicts did lawrence of arabia participate?', 'sparql': 'select distinct ?uri where [ dbr:T._E._Lawrence dbo:battle ?uri ]'}"
364,"{'en': 'what is the timezone in san pedro de atacama?', 'sparql': 'select distinct ?uri where [ dbr:San_Pedro_de_Atacama dbo:timeZone ?uri ]'}"
365,"{'en': 'give me all books by william goldman with more than 300 pages.', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Book ; dbo:author dbr:William_Goldman ; dbo:numberOfPages ?x filter ( ?x > 300 ) ]'}"
366,"{'en': 'what did bruce carver die from?', 'sparql': 'select distinct ?uri where [ dbr:Bruce_Carver dbo:deathCause ?uri ]'}"
367,"{'en': 'which subsidiary of lufthansa serves both dortmund and berlin tegel?', 'sparql': 'select distinct ?uri where [ dbr:Lufthansa dbo:subsidiary ?uri . ?uri dbo:targetAirport dbr:Dortmund_Airport ; dbo:targetAirport dbr:Berlin_Tegel_Airport ]'}"
368,"{'en': ""does abraham lincoln's death place have a website?"", 'sparql': 'ask where [ dbr:Abraham_Lincoln dbo:deathPlace ?p . ?p dbo:website ?w ]'}"
369,"{'en': 'did elvis presley have children?', 'sparql': 'ask where [ dbr:Elvis_Presley dbo:child ?uri ]'}"
370,"{'en': 'is michelle obama the wife of barack obama?', 'sparql': 'ask where [ dbr:Barack_Obama dbo:spouse dbr:Michelle_Obama ]'}"
371,"{'en': 'in which city does sylvester stallone live?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:City . dbr:Sylvester_Stallone dbo:residence ?uri ]'}"
372,"{'en': 'which books by kerouac were published by viking press?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Book ; dbo:publisher dbr:Viking_Press ; dbo:author dbr:Jack_Kerouac ]'}"
373,"{'en': 'who wrote the song hotel california?', 'sparql': 'select distinct ?uri where [ dbr:Hotel_California dbo:writer ?uri ]'}"
374,"{'en': 'what is the capital of canada?', 'sparql': 'select distinct ?uri where [ dbr:Canada dbo:capital ?uri ]'}"
375,"{'en': 'who is the mayor of tel aviv?', 'sparql': 'select distinct ?uri where [ dbr:Tel_Aviv dbo:leaderName ?uri ]'}"
376,"{'en': 'what form of government does russia have?', 'sparql': 'select distinct ?uri where [ dbr:Russia dbo:governmentType ?uri ]'}"
377,"{'en': 'show me the book that muhammad ali wrote.', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Book ; dbo:author dbr:Muhammad_Ali ]'}"
378,"{'en': 'who was the first to climb mount everest?', 'sparql': 'select distinct ?uri where [ dbr:Mount_Everest dbo:firstAscentPerson ?uri ]'}"
379,"{'en': 'how many languages are spoken in colombia?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri rdf:type dbo:Language . dbr:Colombia dbo:language ?uri ]'}"
380,"{'en': 'what is the currency of the czech republic?', 'sparql': 'select distinct ?uri where [ dbr:Czech_Republic dbo:currency ?uri ]'}"
381,"{'en': 'where in france is sparkling wine produced?', 'sparql': 'select distinct ?uri where [ ?uri dbo:wineProduced dbr:Sparkling_wine ; dbo:location dbr:France ]'}"
382,"{'en': 'when did boris becker end his active career?', 'sparql': 'select distinct ?d where [ dbr:Boris_Becker dbo:activeYearsEndDate ?d ]'}"
383,"{'en': 'which movies starring mickey rourke were directed by guy ritchie?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Film ; dbo:starring dbr:Mickey_Rourke ; dbo:director dbr:Guy_Ritchie ]'}"
384,"{'en': 'in which films did julia roberts as well as richard gere play?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Film ; dbo:starring dbr:Julia_Roberts ; dbo:starring dbr:Richard_Gere ]'}"
385,"{'en': ""show me hemingway's autobiography."", 'sparql': 'select distinct ?uri where [ ?uri dbo:author dbr:Ernest_Hemingway ; dbo:literaryGenre dbr:Autobiography ]'}"
386,"{'en': 'how tall is amazon eve?', 'sparql': 'select distinct ?height where [ dbr:Amazon_Eve dbo:height ?height ]'}"
387,"{'en': 'what are the five boroughs of new york?', 'sparql': 'select distinct ?uri where [ ?uri dbo:governmentType dbr:Borough_(New_York_City) ]'}"
388,"{'en': 'give me all canadian grunge record labels.', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:RecordLabel ; dbo:genre dbr:Grunge ; dbo:country dbr:Canada ]'}"
389,"{'en': 'in which country does the ganges start?', 'sparql': 'select distinct ?uri where [ dbr:Ganges dbo:sourceCountry ?uri ]'}"
390,"{'en': 'who is the founder of penguin books?', 'sparql': 'select distinct ?uri where [ dbr:Penguin_Books dbo:founder ?uri ]'}"
391,"{'en': 'who wrote the game of thrones theme?', 'sparql': 'select distinct ?uri where [ dbr:Game_of_Thrones dbo:composer ?uri ]'}"
392,"{'en': 'who is the president of eritrea?', 'sparql': 'select distinct ?uri where [ dbr:Eritrea dbo:leader ?uri ; dbo:leaderTitle ""President""@en ]'}"
393,"{'en': 'in which city did john f. kennedy die?', 'sparql': 'select distinct ?uri where [ dbr:John_F._Kennedy dbo:deathPlace ?uri . ?uri rdf:type dbo:City ]'}"
394,"{'en': 'what is the highest mountain in australia?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Mountain ; dbo:locatedInArea dbr:Australia ; dbo:elevation ?elevation ] order BY DESC(?elevation) limit 1'}"
395,"{'en': ""who writes the farmers' almanac?"", 'sparql': ""select ?uri where [ dbr:Farmers'_Almanac dbp:editor ?uri ]""}"
396,"{'en': 'give me the currency of china.', 'sparql': 'select distinct ?uri where [ dbr:China dbo:currency ?uri ]'}"
397,"{'en': 'give me all swedish oceanographers.', 'sparql': 'select distinct ?uri where [ ?uri dbo:field dbr:Oceanography ; dbo:birthPlace dbr:Sweden ]'}"
398,"{'en': 'in which city are the headquarters of the united nations?', 'sparql': 'select distinct ?uri where [ dbr:Headquarters_of_the_United_Nations dbo:location ?uri . ?uri rdf:type dbo:City ]'}"
399,"{'en': 'is rita wilson the wife of tom hanks?', 'sparql': 'ask where [ dbr:Tom_Hanks dbo:spouse dbr:Rita_Wilson ]'}"
400,"{'en': 'in which countries do people speak japanese?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Country ; dbo:language dbr:Japanese_language ]'}"
401,"{'en': ""which of tim burton's films had the highest budget?"", 'sparql': 'select distinct ?uri where [ ?uri dbo:director dbr:Tim_Burton ; dbo:budget ?b ] order BY ?b OFFSET 0 limit 1'}"
402,"{'en': 'which museum in new york has the most visitors?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Museum ; dbo:location dbr:New_York_City ; dbo:numberOfVisitors ?num ] order BY DESC(?num) OFFSET 0 limit 1'}"
403,"{'en': 'what was the first queen album?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Album ; dbo:artist dbr:Queen_(band) ; dbo:releaseDate ?d ] order BY ASC(?d) OFFSET 0 limit 1'}"
404,"{'en': 'what was the first name of the band queens of the stone age?', 'sparql': 'select distinct ?name where [ dbr:Queens_of_the_Stone_Age dbo:alias ?name ]'}"
405,"{'en': 'what was the last movie with alec guinness?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Film ; dbo:starring dbr:Alec_Guinness ; dbo:releaseDate ?date ] order BY DESC(?date) limit 1'}"
406,"{'en': 'give me all actors starring in last action hero.', 'sparql': 'select distinct ?uri where [ dbr:Last_Action_Hero dbo:starring ?uri ]'}"
407,"{'en': 'who discovered pluto?', 'sparql': 'select ?uri where [ dbr:Pluto dbo:discoverer ?uri ]'}"
