id,question,answers,orig_query,sparql
127,How many airlines are members of the Star Alliance?,97,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> ; <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> },SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a dbo:Airline ; dbo:alliance> <http://dbpedia.org/resource/Star_Alliance> }
128,Give me all actors called Baldwin.,http://dbpedia.org/resource/Judith_Baldwin,PREFIX foaf:<http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?uri WHERE { ?uri foaf:surname 'Baldwin'@en . { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Actor> . } UNION { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . } },SELECT DISTINCT ?uri WHERE { ?uri foaf:surname 'Baldwin'@en . { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Actor> . } UNION { ?uri rdf:type <http://dbpedia.org/ontology/Actor> . } }
129,Who wrote The Hunger Games?,http://dbpedia.org/resource/Suzanne_Collins,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Hunger_Games> <http://dbpedia.org/property/author> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Hunger_Games> dbp:author ?uri }
130,For which label did Elvis record his first album?,http://dbpedia.org/resource/Pickwick_Records,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?x rdf:type dbo:Album ; dbo:artist res:Elvis_Presley ; dbo:releaseDate ?y ; dbo:recordLabel ?uri } ORDER BY ASC(?y) OFFSET 0 LIMIT 1,SELECT DISTINCT ?uri WHERE { ?x rdf:type dbo:Album ; dbo:artist dbr:Elvis_Presley ; dbo:releaseDate ?y ; dbo:recordLabel ?uri } ORDER BY ASC(?y) OFFSET 0 LIMIT 1
131,Is Christian Bale starring in Batman Begins?,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Batman_Begins dbo:starring res:Christian_Bale },ASK WHERE { dbr:Batman_Begins dbo:starring dbr:Christian_Bale }
132,Where is the residence of the prime minister of Spain?,http://dbpedia.org/resource/Palacio_de_la_Moncloa,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Prime_Minister_of_Spain> <http://dbpedia.org/property/residence> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Prime_Minister_of_Spain> dbp:residence ?uri }
133,Which actor was casted in the most movies?,http://dbpedia.org/resource/Andy_Lau,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?f <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?f <http://dbpedia.org/ontology/starring> ?uri . } ORDER BY DESC(COUNT(DISTINCT(?f))) OFFSET 0 LIMIT 1,SELECT DISTINCT ?uri WHERE { ?uri rdf:type <http://dbpedia.org/ontology/Actor> . ?f rdf:type> <http://dbpedia.org/ontology/Film> . ?f <http://dbpedia.org/ontology/starring> ?uri . } ORDER BY DESC(COUNT(DISTINCT(?f))) OFFSET 0 LIMIT 1
134,Which countries have more than two official languages?,http://dbpedia.org/resource/Basque_Country_(greater_region),SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> ; <http://dbpedia.org/ontology/officialLanguage> ?language } GROUP BY ?uri HAVING ( COUNT(?language) > 2 ),SELECT DISTINCT ?uri WHERE { ?uri a dbo:Country ; dbo:officialLanguage> ?language } GROUP BY ?uri HAVING ( COUNT(?language) > 2 )
135,Which countries have more than ten caves?,http://dbpedia.org/resource/India,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?cave a <http://dbpedia.org/ontology/Cave> { ?cave <http://dbpedia.org/ontology/location> ?uri } UNION { ?cave <http://dbpedia.org/ontology/location> ?loc . ?loc <http://dbpedia.org/ontology/country> ?uri } } GROUP BY ?uri HAVING ( COUNT(?cave) > 10 ),SELECT DISTINCT ?uri WHERE { ?uri a dbo:Country . ?cave a dbo:Cave> { ?cave dbo:location> ?uri } UNION { ?cave dbo:location> ?loc . ?loc dbo:country> ?uri } } GROUP BY ?uri HAVING ( COUNT(?cave) > 10 )
136,Show me all songs from Bruce Springsteen released between 1980 and 1990.,http://dbpedia.org/resource/Downbound_Train,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Song> . ?uri <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/Bruce_Springsteen> . ?uri <http://dbpedia.org/ontology/releaseDate> ?date . FILTER (?date >= '1980-01-01'^^xsd:date && ?date <= '1990-12-31'^^xsd:date) },SELECT DISTINCT ?uri WHERE { ?uri rdf:type <http://dbpedia.org/ontology/Song> . ?uri <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/Bruce_Springsteen> . ?uri <http://dbpedia.org/ontology/releaseDate> ?date . FILTER (?date >= '1980-01-01'^^xsd:date && ?date <= '1990-12-31'^^xsd:date) }
137,Which television shows were created by John Cleese?,http://dbpedia.org/resource/Monty_Python's_Personal_Best,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/TelevisionShow> ; <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/John_Cleese> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:TelevisionShow ; dbo:creator> <http://dbpedia.org/resource/John_Cleese> }
138,When did Latvia join the EU?,2004-05-01,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Latvia> <http://dbpedia.org/property/accessioneudate> ?date },SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Latvia> dbp:accessioneudate ?date }
139,Which soccer players were born on Malta?,http://dbpedia.org/resource/Steve_Bezzina,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/SoccerPlayer> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Malta> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:SoccerPlayer ; dbo:birthPlace> <http://dbpedia.org/resource/Malta> }
140,How many politicians graduated from Columbia University?,12,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Politician> ; <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Columbia_University> },SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri dbo:profession <http://dbpedia.org/resource/Politician> ; dbo:almaMater> <http://dbpedia.org/resource/Columbia_University> }
141,Give me the birthdays of all actors of the television show Charmed.,1973-9-5,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Charmed> <http://dbpedia.org/ontology/starring> ?actor . ?actor <http://dbpedia.org/ontology/birthDate> ?date },SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Charmed> dbo:starring ?actor . ?actor dbo:birthDate> ?date }
142,Which telecommunications organizations are located in Belgium?,7,"SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Organisation> { ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Telecommunication> } UNION { ?uri <http://dbpedia.org/property/industry> ?industry FILTER regex(?industry, ""Telecommunications"") } { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Belgium> } UNION { ?uri <http://dbpedia.org/property/locationCountry> ""Belgium""@en } }","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a dbo:Organisation { ?uri dbo:industry> <http://dbpedia.org/resource/Telecommunication> } UNION { ?uri <http://dbpedia.org/property/industry> ?industry FILTER regex(?industry, ""Telecommunications"") } { ?uri dbo:location> <http://dbpedia.org/resource/Belgium> } UNION { ?uri <http://dbpedia.org/property/locationCountry> ""Belgium""@en } }"
143,Give me a list of all lakes in Denmark.,http://dbpedia.org/resource/Arresø,SELECT DISTINCT ?uri WHERE { { ?uri a <http://dbpedia.org/ontology/Lake> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> } UNION { ?uri a <http://dbpedia.org/class/yago/LakesOfDenmark> } },SELECT DISTINCT ?uri WHERE { { ?uri a dbo:Lake ; dbo:country> <http://dbpedia.org/resource/Denmark> } UNION { ?uri a <http://dbpedia.org/class/yago/LakesOfDenmark> } }
144,How many children does Eddie Murphy have?,9,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Eddie_Murphy> <http://dbpedia.org/property/children> ?n },SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Eddie_Murphy> dbp:children ?n }
145,Show me all English Gothic buildings in Kent.,"http://dbpedia.org/resource/St_Mary's_Church,_Capel-le-Ferne",SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Building> ; <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> ; <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent> },SELECT ?uri WHERE { ?uri a dbo:Building ; dbo:architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> ; dbo:location> <http://dbpedia.org/resource/Kent> }
146,Who is the manager of Real Madrid?,http://dbpedia.org/resource/Zinedine_Zidane,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Real_Madrid_C.F.> <http://dbpedia.org/ontology/manager> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Real_Madrid_C.F.> dbo:manager ?uri }
147,In which countries can you pay using the West African CFA franc?,http://dbpedia.org/resource/French_Upper_Volta,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/West_African_CFA_franc> },SELECT DISTINCT ?uri WHERE { ?uri dbo:currency <http://dbpedia.org/resource/West_African_CFA_franc> }
148,Which holidays are celebrated around the world?,http://dbpedia.org/resource/National_Sorry_Day,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Holiday },SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Holiday }
149,What is the longest river?,http://dbpedia.org/resource/Irtysh_River,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> { ?uri <http://dbpedia.org/ontology/length> ?l } UNION { ?uri <http://dbpedia.org/property/length> ?l } } ORDER BY DESC(?l) OFFSET 0 LIMIT 1,SELECT DISTINCT ?uri WHERE { ?uri a dbo:River { ?uri dbo:length> ?l } UNION { ?uri <http://dbpedia.org/property/length> ?l } } ORDER BY DESC(?l) OFFSET 0 LIMIT 1
150,Which organizations were founded in 1930?,http://dbpedia.org/resource/Lidl,"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Organisation> { ?uri <http://dbpedia.org/ontology/formationYear> ?date } UNION { ?uri <http://dbpedia.org/ontology/foundingYear> ?date } FILTER regex(?date, ""^1930"") }","SELECT DISTINCT ?uri WHERE { ?uri a dbo:Organisation { ?uri dbo:formationYear> ?date } UNION { ?uri dbo:foundingYear> ?date } FILTER regex(?date, ""^1930"") }"
151,What is the birth name of Angela Merkel?,Angela Dorothea Kasner,SELECT DISTINCT ?string WHERE { <http://dbpedia.org/resource/Angela_Merkel> <http://dbpedia.org/property/birthName> ?string },SELECT DISTINCT ?string WHERE { <http://dbpedia.org/resource/Angela_Merkel> dbp:birthName ?string }
152,Who has Tom Cruise been married to?,http://dbpedia.org/resource/Katie_Holmes,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Tom_Cruise> },SELECT DISTINCT ?uri WHERE { ?uri dbo:spouse <http://dbpedia.org/resource/Tom_Cruise> }
153,Which weapons did Heckler & Koch develop?,http://dbpedia.org/resource/XM25_CDTE,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Weapon> ; <http://dbpedia.org/property/designer> <http://dbpedia.org/resource/Heckler_&_Koch> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Weapon ; <http://dbpedia.org/property/designer> <http://dbpedia.org/resource/Heckler_&_Koch> }
154,What is the smallest city by area in Germany?,http://dbpedia.org/resource/Eckernförde,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbc: <http://dbpedia.org/resource/Category:> PREFIX dct: <http://purl.org/dc/terms/> SELECT ?city WHERE { ?m skos:broader dbc:Cities_in_Germany . ?city dct:subject ?m ; dbo:areaTotal ?area } ORDER BY ?area LIMIT 1,SELECT ?city WHERE { ?m skos:broader dbc:Cities_in_Germany . ?city dct:subject ?m ; dbo:areaTotal ?area } ORDER BY ?area LIMIT 1
155,What is the ruling party in Lisbon?,http://dbpedia.org/resource/Socialist_Party_(Portugal),SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lisbon> <http://dbpedia.org/property/leaderParty> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lisbon> dbp:leaderParty ?uri }
156,How heavy is Jupiter's lightest moon?,1100.0,SELECT DISTINCT ?n WHERE { ?uri <http://dbpedia.org/property/satelliteOf> <http://dbpedia.org/resource/Jupiter> ; <http://dbpedia.org/ontology/mass> ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1,SELECT DISTINCT ?n WHERE { ?uri <http://dbpedia.org/property/satelliteOf> <http://dbpedia.org/resource/Jupiter> ; dbo:mass ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1
157,How many employees does IBM have?,377757,SELECT DISTINCT ?number WHERE { <http://dbpedia.org/resource/IBM> <http://dbpedia.org/ontology/numberOfEmployees> ?number },SELECT DISTINCT ?number WHERE { <http://dbpedia.org/resource/IBM> dbo:numberOfEmployees ?number }
158,List all episodes of the first season of the HBO television series The Sopranos!,http://dbpedia.org/resource/Isabella_(The_Sopranos),PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:series res:The_Sopranos ; dbo:seasonNumber 1 },SELECT DISTINCT ?uri WHERE { ?uri dbo:series dbr:The_Sopranos ; dbo:seasonNumber 1 }
159,What does ICRO stand for?,http://dbpedia.org/resource/Irish_Cave_Rescue_Organisation,"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/abbreviation> ""ICRO"" }","SELECT DISTINCT ?uri WHERE { ?uri dbo:abbreviation ""ICRO"" }"
160,Does the new Battlestar Galactica series have more episodes than the old one?,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { <http://dbpedia.org/resource/Battlestar_Galactica_%281978_TV_series%29> dbo:numberOfEpisodes ?x . <http://dbpedia.org/resource/Battlestar_Galactica_%282004_TV_series%29> dbo:numberOfEpisodes ?y FILTER ( ?y > ?x ) },ASK WHERE { dbr:Battlestar_Galactica_%281978_TV_series%29 dbo:numberOfEpisodes ?x . dbr:Battlestar_Galactica_%282004_TV_series%29> dbo:numberOfEpisodes ?y FILTER ( ?y > ?x ) }
161,Give me all films produced by Hal Roach.,http://dbpedia.org/resource/The_McGuerins_from_Brooklyn,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Film ; dbo:producer> <http://dbpedia.org/resource/Hal_Roach> }
162,Who played Agent Smith in Matrix?,http://dbpedia.org/resource/Hugo_Weaving,PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE { res:Agent_Smith <http://dbpedia.org/ontology/portrayer> ?uri },SELECT DISTINCT ?uri WHERE { dbr:Agent_Smith dbo:portrayer ?uri }
163,Which Greek parties are pro-European?,http://dbpedia.org/resource/Union_of_Centrists,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/PoliticalParty> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Greece> ; <http://dbpedia.org/ontology/ideology> <http://dbpedia.org/resource/Pro-Europeanism> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:PoliticalParty ; dbo:country> <http://dbpedia.org/resource/Greece> ; dbo:ideology> <http://dbpedia.org/resource/Pro-Europeanism> }
164,Give me a list of all bandleaders that play trumpet.,http://dbpedia.org/resource/Terumasa_Hino,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> ; <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> },SELECT DISTINCT ?uri WHERE { ?uri dbo:occupation <http://dbpedia.org/resource/Bandleader> ; dbo:instrument> <http://dbpedia.org/resource/Trumpet> }
165,What is the second highest mountain on Earth?,http://dbpedia.org/resource/Y_Ro_Wen,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> ; <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1,SELECT DISTINCT ?uri WHERE { ?uri a dbo:Mountain ; dbo:elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1
166,Is Egypts largest city also its capital?,False,ASK WHERE { <http://dbpedia.org/resource/Egypt> <http://dbpedia.org/ontology/largestCity> ?large ; <http://dbpedia.org/ontology/capital> ?capital FILTER ( ?large = ?capital ) },ASK WHERE { <http://dbpedia.org/resource/Egypt> dbo:largestCity ?large ; dbo:capital> ?capital FILTER ( ?large = ?capital ) }
167,Which rockets were launched from Baikonur?,http://dbpedia.org/resource/Energia,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Rocket> ; <http://dbpedia.org/ontology/launchSite> <http://dbpedia.org/resource/Baikonur_Cosmodrome> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Rocket ; dbo:launchSite> <http://dbpedia.org/resource/Baikonur_Cosmodrome> }
168,How many programming languages are there?,2031,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/ProgrammingLanguage> },SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a dbo:ProgrammingLanguage }
169,Which Chess players died in the same place they were born in?,http://dbpedia.org/resource/Alessandro_Salvio,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/ChessPlayer> ; <http://dbpedia.org/ontology/birthPlace> ?x ; <http://dbpedia.org/ontology/deathPlace> ?y FILTER ( ?x = ?y ) },SELECT DISTINCT ?uri WHERE { ?uri a dbo:ChessPlayer ; dbo:birthPlace> ?x ; dbo:deathPlace> ?y FILTER ( ?x = ?y ) }
170,Who is the owner of Facebook?,http://dbpedia.org/resource/Eduardo_Saverin,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Facebook> <http://dbpedia.org/ontology/foundedBy> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Facebook> dbo:foundedBy ?uri }
171,Give me all movies with Tom Cruise.,http://dbpedia.org/resource/All_the_Right_Moves_(film),SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Tom_Cruise> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Film ; dbo:starring> <http://dbpedia.org/resource/Tom_Cruise> }
172,In which U.S. state is Fort Knox located?,http://dbpedia.org/resource/Kentucky,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE { res:Fort_Knox dbo:location ?uri . ?uri dbo:country res:United_States },SELECT DISTINCT ?uri WHERE { dbr:Fort_Knox dbo:location ?uri . ?uri dbo:country dbr:United_States }
173,Give me all cities in New Jersey with more than 100000 inhabitants.,"http://dbpedia.org/resource/Newark,_New_Jersey",PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City ; dbo:isPartOf res:New_Jersey ; dbo:populationTotal ?inhabitants FILTER ( ?inhabitants > 100000 ) },SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City ; dbo:isPartOf dbr:New_Jersey ; dbo:populationTotal ?inhabitants FILTER ( ?inhabitants > 100000 ) }
174,Which mountains are higher than the Nanga Parbat?,http://dbpedia.org/resource/Lhotse_Shar,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nanga_Parbat> <http://dbpedia.org/ontology/elevation> ?elevation . ?uri a <http://dbpedia.org/ontology/Mountain> { ?uri <http://dbpedia.org/ontology/elevation> ?otherelevation } UNION { ?uri <http://dbpedia.org/property/elevationM> ?otherelevation } FILTER ( ?otherelevation > ?elevation ) },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nanga_Parbat> dbo:elevation ?elevation . ?uri a dbo:Mountain> { ?uri dbo:elevation> ?otherelevation } UNION { ?uri <http://dbpedia.org/property/elevationM> ?otherelevation } FILTER ( ?otherelevation > ?elevation ) }
175,Give me all B-sides of the Ramones.,"""No-One Could Ever Love You More"" (Norway)",SELECT DISTINCT ?string WHERE { ?x <http://dbpedia.org/ontology/musicalArtist> <http://dbpedia.org/resource/Ramones> ; <http://dbpedia.org/ontology/bSide> ?string },SELECT DISTINCT ?string WHERE { ?x dbo:musicalArtist <http://dbpedia.org/resource/Ramones> ; dbo:bSide> ?string }
176,What are the specialities of the UNC Health Care?,http://dbpedia.org/resource/Cancer,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/UNC_Health_Care> <http://dbpedia.org/property/speciality> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/UNC_Health_Care> dbp:speciality ?uri }
177,When was Olof Palme shot?,1986-2-28,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Olof_Palme> <http://dbpedia.org/ontology/deathDate> ?date },SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Olof_Palme> dbo:deathDate ?date }
178,List the seven kings of Rome.,http://dbpedia.org/resource/Tullus_Hostilius,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/title> <http://dbpedia.org/resource/King_of_Rome> },SELECT DISTINCT ?uri WHERE { ?uri dbp:title <http://dbpedia.org/resource/King_of_Rome> }
179,Give me all people that were born in Vienna and died in Berlin.,http://dbpedia.org/resource/Michael_von_Newlinsky,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Vienna> ; <http://dbpedia.org/ontology/deathPlace> <http://dbpedia.org/resource/Berlin> },SELECT DISTINCT ?uri WHERE { ?uri dbo:birthPlace <http://dbpedia.org/resource/Vienna> ; dbo:deathPlace> <http://dbpedia.org/resource/Berlin> }
180,Is Darth Vader Luke’s father?,True,ASK WHERE { <http://dbpedia.org/resource/Darth_Vader> <http://dbpedia.org/ontology/child> <http://dbpedia.org/resource/Luke_Skywalker> },ASK WHERE { <http://dbpedia.org/resource/Darth_Vader> dbo:child <http://dbpedia.org/resource/Luke_Skywalker> }
181,Show me all the breweries in Australia.,http://dbpedia.org/resource/Cascade_Brewery,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Brewery> { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Brewery { ?uri dbo:location> <http://dbpedia.org/resource/Australia> } UNION { ?uri dbo:location> ?x . ?x dbo:country> <http://dbpedia.org/resource/Australia> } }
182,Give me all films produced by Steven Spielberg with a budget of at least $80 million.,http://dbpedia.org/resource/The_Adventures_of_Tintin_(film),SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Steven_Spielberg> . ?uri <http://dbpedia.org/ontology/budget> ?b . FILTER( xsd:double(?b) >= 8.0E7 ) },SELECT DISTINCT ?uri WHERE { ?uri rdf:type <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Steven_Spielberg> . ?uri <http://dbpedia.org/ontology/budget> ?b . FILTER( xsd:double(?b) >= 8.0E7 ) }
183,Give me all soccer clubs in Spain.,http://dbpedia.org/resource/CF_Balaguer,"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/SoccerClub> { ?uri <http://dbpedia.org/ontology/ground> <http://dbpedia.org/resource/Spain> } UNION { ?uri <http://dbpedia.org/property/ground> ?ground FILTER regex(?ground, ""Spain"") } }","SELECT DISTINCT ?uri WHERE { ?uri a dbo:SoccerClub { ?uri dbo:ground> <http://dbpedia.org/resource/Spain> } UNION { ?uri <http://dbpedia.org/property/ground> ?ground FILTER regex(?ground, ""Spain"") } }"
184,Who produced films starring Natalie Portman?,http://dbpedia.org/resource/Mike_Nichols,SELECT DISTINCT ?uri WHERE { ?film a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Natalie_Portman> ; <http://dbpedia.org/ontology/producer> ?uri },SELECT DISTINCT ?uri WHERE { ?film a dbo:Film ; dbo:starring> <http://dbpedia.org/resource/Natalie_Portman> ; dbo:producer> ?uri }
185,Give me all breeds of the German Shepherd dog.,http://dbpedia.org/resource/Mancs_(dog),SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/breed> <http://dbpedia.org/resource/German_Shepherd> },SELECT DISTINCT ?uri WHERE { ?uri dbp:breed <http://dbpedia.org/resource/German_Shepherd> }
186,Who is the heaviest player of the Chicago Bulls?,http://dbpedia.org/resource/Roberto_Dueñas,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/ontology/weight> ?num { ?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/property/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/ontology/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1,SELECT DISTINCT ?uri WHERE { ?uri a dbo:Person ; dbo:weight> ?num { ?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/property/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri dbo:draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1
